Albania,1952,1282697,Europe,55.23,1601.056136
Albania,1957,1476505,Europe,59.28,1942.284244
Albania,1962,1728137,Europe,64.82,2312.888958
Albania,1967,1984060,Europe,66.22,2760.196931
Albania,1972,2263554,Europe,67.69,3313.422188
Albania,1977,2509048,Europe,68.93,3533.00391
Albania,1982,2780097,Europe,70.42,3630.880722
Albania,1987,3075321,Europe,72,3738.932735
Albania,1992,3326498,Europe,71.581,2497.437901
Albania,1997,3428038,Europe,72.95,3193.054604
Albania,2002,3508512,Europe,75.651,4604.211737
Albania,2007,3600523,Europe,76.423,5937.029526
Austria,1952,6927772,Europe,66.8,6137.076492
Austria,1957,6965860,Europe,67.48,8842.59803
Austria,1962,7129864,Europe,69.54,10750.72111
Austria,1967,7376998,Europe,70.14,12834.6024
Austria,1972,7544201,Europe,70.63,16661.6256
Austria,1977,7568430,Europe,72.17,19749.4223
Austria,1982,7574613,Europe,73.18,21597.08362
Austria,1987,7578903,Europe,74.94,23687.82607
Austria,1992,7914969,Europe,76.04,27042.01868
Austria,1997,8069876,Europe,77.51,29095.92066
Austria,2002,8148312,Europe,78.98,32417.60769
Austria,2007,8199783,Europe,79.829,36126.4927
Belgium,1952,8730405,Europe,68,8343.105127
Belgium,1957,8989111,Europe,69.24,9714.960623
Belgium,1962,9218400,Europe,70.25,10991.20676
Belgium,1967,9556500,Europe,70.94,13149.04119
Belgium,1972,9709100,Europe,71.44,16672.14356
Belgium,1977,9821800,Europe,72.8,19117.97448
Belgium,1982,9856303,Europe,73.93,20979.84589
Belgium,1987,9870200,Europe,75.35,22525.56308
Belgium,1992,10045622,Europe,76.46,25575.57069
Belgium,1997,10199787,Europe,77.53,27561.19663
Belgium,2002,10311970,Europe,78.32,30485.88375
Belgium,2007,10392226,Europe,79.441,33692.60508
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948
Bosnia and Herzegovina,1957,3076000,Europe,58.45,1353.989176
Bosnia and Herzegovina,1962,3349000,Europe,61.93,1709.683679
Bosnia and Herzegovina,1967,3585000,Europe,64.79,2172.352423
Bosnia and Herzegovina,1972,3819000,Europe,67.45,2860.16975
Bosnia and Herzegovina,1977,4086000,Europe,69.86,3528.481305
Bosnia and Herzegovina,1982,4172693,Europe,70.69,4126.613157
Bosnia and Herzegovina,1987,4338977,Europe,71.14,4314.114757
Bosnia and Herzegovina,1992,4256013,Europe,72.178,2546.781445
Bosnia and Herzegovina,1997,3607000,Europe,73.244,4766.355904
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239
Bosnia and Herzegovina,2007,4552198,Europe,74.852,7446.298803
Bulgaria,1952,7274900,Europe,59.6,2444.286648
Bulgaria,1957,7651254,Europe,66.61,3008.670727
Bulgaria,1962,8012946,Europe,69.51,4254.337839
Bulgaria,1967,8310226,Europe,70.42,5577.0028
Bulgaria,1972,8576200,Europe,70.9,6597.494398
Bulgaria,1977,8797022,Europe,70.81,7612.240438
Bulgaria,1982,8892098,Europe,71.08,8224.191647
Bulgaria,1987,8971958,Europe,71.34,8239.854824
Bulgaria,1992,8658506,Europe,71.19,6302.623438
Bulgaria,1997,8066057,Europe,70.32,5970.38876
Bulgaria,2002,7661799,Europe,72.14,7696.777725
Bulgaria,2007,7322858,Europe,73.005,10680.79282
Croatia,1952,3882229,Europe,61.21,3119.23652
Croatia,1957,3991242,Europe,64.77,4338.231617
Croatia,1962,4076557,Europe,67.13,5477.890018
Croatia,1967,4174366,Europe,68.5,6960.297861
Croatia,1972,4225310,Europe,69.61,9164.090127
Croatia,1977,4318673,Europe,70.64,11305.38517
Croatia,1982,4413368,Europe,70.46,13221.82184
Croatia,1987,4484310,Europe,71.52,13822.58394
Croatia,1992,4494013,Europe,72.527,8447.794873
Croatia,1997,4444595,Europe,73.68,9875.604515
Croatia,2002,4481020,Europe,74.876,11628.38895
Croatia,2007,4493312,Europe,75.748,14619.22272
Czech Republic,1952,9125183,Europe,66.87,6876.14025
Czech Republic,1957,9513758,Europe,69.03,8256.343918
Czech Republic,1962,9620282,Europe,69.9,10136.86713
Czech Republic,1967,9835109,Europe,70.38,11399.44489
Czech Republic,1972,9862158,Europe,70.29,13108.4536
Czech Republic,1977,10161915,Europe,70.71,14800.16062
